Latitude,Longitude,People,Bicycles,Vehicles
1.364205,103.8428351,10.858433734939759,0.5421686746987951,18.173192771084338
1.3641947,103.8429245,17.3551912568306,3.0,16.6448087431694
1.3641884,103.8430142,13.61849710982659,2.069364161849711,19.023121387283236
1.3641858,103.8431052,15.568281938325992,1.5903083700440528,19.185022026431717
1.3641204,103.8431673,14.708920187793428,4.169014084507042,4.211267605633803
1.364032,103.8431458,8.32579185520362,1.4705882352941178,13.638009049773755
1.3639422,103.8431583,12.931623931623932,4.132478632478633,5.102564102564102
1.3638586,103.8431933,13.832258064516129,8.419354838709678,1.896774193548387
1.3638033,103.8432655,15.171875,6.8671875,1.1953125
1.3637634,103.8433483,13.083333333333334,2.537037037037037,0.7962962962962963
1.3637052,103.8434202,16.483870967741936,2.1048387096774195,1.564516129032258
1.3636149,103.8434317,9.898305084745763,0.4576271186440678,1.8559322033898304
1.3635636,103.8433571,5.316666666666666,0.13333333333333333,13.258333333333333
1.3635047,103.843286,3.990740740740741,0.7407407407407407,7.157407407407407
1.3634224,103.8432442,1.3737373737373737,0.09090909090909091,1.7373737373737375
1.3633313,103.8432352,1.6818181818181819,0.0,0.6181818181818182
1.363245,103.8432649,3.1523809523809523,0.3142857142857143,0.0761904761904762
1.3631865,103.8433364,4.626262626262626,0.13131313131313133,1.8080808080808082
1.3631552,103.8434216,6.37,0.01,3.79
1.3631337,103.8435104,10.408163265306122,0.030612244897959183,4.3061224489795915
1.3631149,103.8435984,18.71875,1.25,7.90625
1.3631049,103.8436887,29.755102040816325,2.3469387755102042,8.581632653061224
1.3630977,103.8437793,38.38834951456311,3.9611650485436893,5.475728155339806
1.3630991,103.8438705,41.964285714285715,3.2589285714285716,3.267857142857143
1.363103,103.8439618,29.873873873873872,5.603603603603603,2.7927927927927927
1.3631065,103.8440517,31.895652173913042,6.904347826086957,1.5478260869565217
1.3630868,103.844142,29.745283018867923,5.726415094339623,1.5188679245283019
1.3630724,103.8442321,37.48514851485149,8.702970297029703,0.40594059405940597
1.3630432,103.8443173,11.45,5.96,0.65
1.3630038,103.8443994,9.873684210526315,3.736842105263158,0.28421052631578947
1.362956,103.8444792,11.580645161290322,2.78494623655914,0.6989247311827957
1.3629025,103.8445536,7.881188118811881,1.3762376237623761,2.297029702970297
1.3628586,103.8446324,6.866666666666666,1.8476190476190477,0.7619047619047619
1.362802,103.8447053,13.077669902912621,3.6699029126213594,1.7184466019417475
1.362739,103.8447728,13.184466019417476,1.5436893203883495,6.718446601941747
1.3626765,103.8448414,14.393939393939394,0.7070707070707071,1.595959595959596
1.3626077,103.8449012,9.509803921568627,0.049019607843137254,0.6372549019607843
1.3625159,103.8449105,8.12621359223301,0.3592233009708738,0.5048543689320388
1.3624414,103.8448572,5.787610619469026,0.04424778761061947,0.08849557522123894
1.362374,103.8447945,4.2105263157894735,0.15789473684210525,0.05263157894736842
1.3623005,103.8447408,3.3689320388349513,0.06796116504854369,0.038834951456310676
1.36223,103.8446845,0.979381443298969,0.0,0.20618556701030927
1.3621632,103.8446214,0.01020408163265306,0.0,0.030612244897959183
1.3620921,103.8445616,2.675675675675676,0.06306306306306306,0.5855855855855856
1.3620176,103.8445087,3.9045226130653266,0.4623115577889447,0.4371859296482412
1.3619915,103.8444226,3.0319148936170213,0.11702127659574468,0.723404255319149
1.362049,103.8443527,0.9137931034482759,0.0,0.8103448275862069
1.3620907,103.8442723,2.883495145631068,0.0,0.3300970873786408
1.3621286,103.8441894,6.568627450980392,0.6078431372549019,0.10784313725490197
1.3621654,103.8441043,6.268518518518518,2.6481481481481484,0.037037037037037035
1.3622048,103.8440215,3.0661157024793386,1.9008264462809918,0.36363636363636365
1.3622358,103.8439356,7.044117647058823,5.595588235294118,0.4632352941176471
1.3622676,103.8438508,10.158730158730158,3.9682539682539684,0.4603174603174603
1.3623032,103.8437669,3.8214285714285716,4.017857142857143,0.36607142857142855
1.3623377,103.8436823,2.043103448275862,1.0258620689655173,0.4482758620689655
1.3623704,103.8435961,3.5045871559633026,0.1559633027522936,0.3761467889908257
1.3624122,103.843515,0.9117647058823529,0.0,0.0196078431372549
1.3624477,103.8434298,0.6122448979591837,0.0,0.2653061224489796
1.3624824,103.8433449,0.6138613861386139,0.009900990099009901,0.7029702970297029
1.3625104,103.843259,0.20952380952380953,0.22857142857142856,1.2857142857142858
1.3625204,103.843168,0.8983050847457628,2.7203389830508473,0.711864406779661
1.3625101,103.8430767,0.8571428571428571,8.134453781512605,2.8151260504201683
1.3625026,103.8429869,1.8943089430894309,7.032520325203252,3.902439024390244
1.3625034,103.8428968,1.5803571428571428,15.535714285714286,3.0982142857142856
1.362495,103.8428056,1.2413793103448276,22.17241379310345,5.439655172413793
1.3625238,103.8427188,1.3691275167785235,10.704697986577182,11.778523489932885
1.3625558,103.8426347,1.7542372881355932,18.62923728813559,7.442796610169491
1.3625279,103.8427212,2.316326530612245,16.336734693877553,0.1326530612244898
1.3625096,103.8428095,2.876190476190476,3.0476190476190474,0.047619047619047616
1.3624987,103.8429009,1.6826923076923077,0.009615384615384616,0.04807692307692308
1.362502,103.8429907,1.4,0.0,0.7473684210526316
1.3625111,103.8430816,4.010204081632653,0.01020408163265306,0.10204081632653061
1.3625141,103.8431724,10.147058823529411,0.17647058823529413,0.4117647058823529
1.3624917,103.8432618,5.807339449541284,0.9357798165137615,0.45871559633027525
1.3624731,103.8433509,16.869565217391305,0.46956521739130436,0.1391304347826087
1.362443,103.8434378,17.29824561403509,3.8859649122807016,0.631578947368421
